id;titulo;temas;fontes;divisao-administrativa;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
29;Dados da Divisão Territorial e Demografia da RM Rio de Janeiro;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Rio de Janeiro;Dados da Divisão Territorial e Demografia da RM Rio de Janeiro;Dados;Dados da RM Rio de Janeiro#Dicionário;DataMunRIO.xls#DicRMSP08im.pdf;;2008-01-01
30;Dados da Divisão Territorial e Demografia da RM Salvador;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Salvador;Dados da Divisão Territorial e Demografia da RM Salvador;Dados;Dados da RM Salvador#Dicionário;DataMunSSA.xls#DicRMSP08im.pdf;;2008-01-01
31;Dados da Divisão Territorial e Demografia da RM São Luís;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Luís;Dados da Divisão Territorial e Demografia da RM São Luís;Dados;Dados da RM São Luís#Dicionário;DataMunSLU.xls#DicRMSP08im.pdf;;2008-01-01
32;Dados da Divisão Territorial e Demografia da RM São Paulo;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Dados da Divisão Territorial e Demografia da RM São Paulo;Dados;Dados da RM São Paulo#Dicionário;DataMunSAO.xls#DicRMSP08im.pdf;;2008-01-01
33;Dados da Divisão Territorial e Demografia da RM Sul RS;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Sul RS;Dados da Divisão Territorial e Demografia da RM Sul RS;Dados;Dados da AU Sul (RS)#Dicionário;DataMunSRS.xls#DicRMSP08im.pdf;;2008-01-01
34;Dados da Divisão Territorial e Demografia da RM Teresina;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Teresina;Dados da Divisão Territorial e Demografia da RM Teresina;Dados;Dados da RIDE Teresina#Dicionário;DataMunTER.xls#DicRMSP08im.pdf;;2008-01-01
35;Dados da Divisão Territorial e Demografia da RM Tubarão;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Tubarão;Dados da Divisão Territorial e Demografia da RM Tubarão;Dados;Dados da RM Tubarão#Dicionário;DataMunTUB.xls#DicRMSP08im.pdf;;2008-01-01
36;Dados da Divisão Territorial e Demografia da RM Vale do Aço;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Vale do Aço;Dados da Divisão Territorial e Demografia da RM Vale do Aço;Dados;Dados da RM Vale do Aço#Dicionário;DataMunVLA.xls#DicRMSP08im.pdf;;2008-01-01
37;Dados da Divisão Territorial e Demografia da RM Vale do Itajaí;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Vale do Itajaí;Dados da Divisão Territorial e Demografia da RM Vale do Itajaí;Dados;Dados da RM Vale do Itajaí#Dicionário;DataMunVLI.xls#DicRMSP08im.pdf;;2008-01-01
38;Dados da Divisão Territorial e Demografia da RM Vitória;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Vitória;Dados da Divisão Territorial e Demografia da RM Vitória;Dados;Dados da RM Vitória#Dicionário;DataMunVIT.xls#DicRMSP08im.pdf;;2008-01-01
39;Dados da Divisão Territorial e Demografia dos Municípios da Região Metropolitana de São Paulo;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Dados da Divisão Territorial e Demografia dos Municípios da Região Metropolitana de São Paulo;Dados;Dados RMSP - Municípios#Dicionário RMSP;DataRMSPmunic.xls#DicRMSP08im.pdf;;2008-01-01
40;Dados da Divisão Territorial e Demografia das subprefeituras do Município de São Paulo;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo#Municípios de São Paulo#São Paulo;Dados da Divisão Territorial e Demografia das subprefeituras do Município de São Paulo;Dados;Dados Subpref - Município SP#Dicionário RMSP;DataRMSPsubprSAO.xls#DicRMSP08im.pdf;;2008-01-01
41;Dados da Divisão Territorial e Demografia dos distritos da Região Metropolitana de São Paulo;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Dados da Divisão Territorial e Demografia dos distritos da Região Metropolitana de São Paulo;Dados;Dados Distritos - RMSP#Dicionário RMSP;DataRMSPdistr.xls#DicRMSP08im.pdf;;2008-01-01
42;Contorno do território do Brasil;Divisão Territorial;Centro de Estudos da Metrópole;Pais;Mapa do Contorno do território do Brasil;Mapa (imagem);Contorno do território brasileiro sem divisões internas (Mudo);BrasDT1.jpg;;2008-01-01
43;Contorno do território brasileiro sem divisões internas;Divisão Territorial;Centro de Estudos da Metrópole;Pais;Mapa do Contorno do território brasileiro sem divisões internas;Mapa (imagem);Contorno do território brasileiro sem divisões internas (Mudo);BrasDT2.jpg;;2008-01-01
44;Contorno do território brasileiro com divisões internas;Divisão Territorial;Centro de Estudos da Metrópole;Pais#Unidades da Federação;Mapa do Contorno do território brasileiro com as unidades da federação;Mapa (imagem);Contorno do território brasileiro com as unidades da federação (Mudo);BrasDT3.jpg;;2008-01-01
45;Divisão Territorial do Brasil em grandes regiões;Divisão Territorial;Centro de Estudos da Metrópole;Pais#Grandes Regiões#Unidades da Federação;Mapa da Divisão Territorial do Brasil em grandes regiões;Mapa (imagem);Divisão do Brasil em grandes regiões (Mudo)#Divisão do Brasil em grandes regiões e unidades de federação (Mudo)#Divisão do Brasil em grandes regiões ( inclui rotulação das regiões)#Divisão do Brasil em grandes regiões e UFs ( inclui rotulação das regiões)#Dados Regiões e Estados#Dicionário Brasil;BrReDT1.jpg#BrReDT2.jpg#BrReDT3.jpg#BrReDT4.jpg#DataBrasil08.xls#DicBras08im.pdf;;2008-01-01
46;Divisão Territorial do Brasil em Unidades da Federação;Divisão Territorial;Centro de Estudos da Metrópole;Pais#Unidades da Federação;Mapas da Divisão territorial do Brasil em Unidades da Federação;Mapa (imagem);Unidades da Federação (Mudo)#Unidades da Federação com rotulação (inclui legenda)#Unidades da Federação (rotuladação numérica)#Unidades da Federação com rotulação (inclui legenda)#Unidades da Federação com rotulação curta (sem legenda)#Unidades da Federação com rotulação longa (sem legenda)#Dados Regiões e Estados#Dicionário Brasil;BrEsDT1.jpg#BrEsDT2.jpg#BrEsDT3.jpg#BrEsDT4.jpg#BrEsDT5.jpg#BrEsDT6.jpg#DataBrasil08.xls#DicBras08im.pdf;;2008-01-01
47;Divisão Territorial do Brasil em Regiões Metropolitanas;Divisão Territorial;Centro de Estudos da Metrópole;Pais#Regiões Metropolitanas;Mapas da Divisão Territorial do Brasil em regiões metropolitanas;Mapa (imagem);Regiões Metropolitanas#Regiões Metropolitanas#Regiões Metropolitanas#Regiões Metropolitanas#Regiões Metropolitanas#Regiões Metropolitanas#Dados Regiões e Estados#Dicionário Brasil;BrRmDT1.jpg#BrRmDT2.jpg#BrRmDT3.jpg#BrRmDT4.jpg#BrRmDT5.jpg#BrRmDT6.jpg#DataBrasil08.xls#DicBras08im.pdf;;2008-01-01
48;Divisão Territorial da RM Aracaju;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Aracaju;Mapa da Divisão Territorial da RM Aracaju;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMaraDT1.jpg#RMaraDT2.jpg#RMaraDT3.jpg#DataMunARA.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
49;Divisão Territorial da RM Baixada Santista ;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Baixada Santista;Mapa da Divisão Territorial da RM Baixada Santista ;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMbxsDT1.jpg#RMbxsDT2.jpg#RMbxsDT3.jpg#DataMunBXS.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
