id;titulo;temas;fontes;divisao-administrativa;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
114;Demografia da RM Sul RS;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Sul RS;Demografia da RM Sul RS;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMsrsDe1.jpg#RMsrsDe2.jpg#RMsrsDe3.jpg#DataMunSRS.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
115;Demografia da RM Teresina;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Teresina;Demografia da RM Teresina;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMterDe1.jpg#RMterDe2.jpg#RMterDe3.jpg#DataMunTER.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
116;Demografia da RM Tubarão;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Tubarão;Demografia da RM Tubarão;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMtubDe1.jpg#RMtubDe2.jpg#RMtubDe3.jpg#DataMunTUB.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
117;Demografia da RM Vale do Aço;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Vale do Aço;Demografia da RM Vale do Aço;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMvlaDe1.jpg#RMvlaDe2.jpg#RMvlaDe3.jpg#DataMunVLA.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
118;Demografia da RM Vale do Itajaí;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Vale do Itajaí;Demografia da RM Vale do Itajaí;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMvliDe1.jpg#RMvliDe2.jpg#RMvliDe3.jpg#DataMunVLI.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
119;Demografia da RM Vitória;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Vitória;Demografia da RM Vitória;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMvitDe1.jpg#RMvitDe2.jpg#RMvitDe3.jpg#DataMunVIT.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
120;População total, ano 2000 - Municípios;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;População total da Região Metropolitana de São Paulo dividida em municípios, ano 2000;Mapa (imagem);Mapa da População total, ano 2000 - Municípios;RMSPmunDe1.jpg;2000;2008-01-01
121;População total, ano 2007 - Municípios;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;População total da Região Metropolitana de São Paulo dividida em municípios, ano 2007;Mapa (imagem);Mapa da População total, ano 2007 - Municípios;RMSPmunDe2.jpg;2007;2008-01-01
122;Densidade demográfica, ano 2000 - Municípios;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Densidade demográfica da Região Metropolitana de São Paulo dividida em municípios, ano 2000;Mapa (imagem);Mapa da Densidade demográfica, ano 2000 - Municípios;RMSPmunDe3.jpg;2000;2008-01-01
123;Densidade demográfica, ano 2007 - Municípios;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Densidade demográfica da Região Metropolitana de São Paulo dividida em municípios, ano 2007;Mapa (imagem);Mapa da Densidade demográfica, ano 2007 - Municípios;RMSPmunDe4.jpg;2007;2008-01-01
124;Crescimento demográfico, ano 91/00 - Municípios;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Crescimento demográfico da Região Metropolitana de São Paulo dividida em municípios, ano 1991/2000;Mapa (imagem);Mapa da Crescimento demográfico, ano 91/00 - Municípios;RMSPmunDe5.jpg;1991/2000;2008-01-01
125;Crescimento demográfico, ano 00/07 - Municípios;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Crescimento demográfico da Região Metropolitana de São Paulo dividida em municípios, ano 2000/2007;Mapa (imagem);Mapa da Crescimento demográfico, ano 00/07 - Municípios;RMSPmunDe6.jpg;2000/2008;2008-01-01
126;População, ano 2000 - Municípios e Subprefeituras;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;População da Região Metropolitana de São Paulo dividida em municípios, e com o Município de São Paulo dividida em Subprefeituras, ano 2000;Mapa (imagem);Mapa da População, ano 2000 - Municípios e Subprefeituras;RMSPsubDe1.jpg;2000;2008-01-01
127;Densidade, ano 2000 - Municípios e Subprefeituras;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Densidade da Região Metropolitana de São Paulo dividida em municípios, e com o Município de São Paulo dividida em Subprefeituras, ano 2000;Mapa (imagem);Mapa da Densidade, ano 2000 - Municípios e Subprefeituras;RMSPsubDe2.jpg;2000;2008-01-01
128;Crescimento, ano 91/00 - Municípios e Subprefeituras;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Crescimento demográfico da Região Metropolitana de São Paulo dividida em municípios, e o Município de São Paulo dividido em subprefeituras ano 1991/2000;Mapa (imagem);Mapa da Crescimento, ano 91/00 - Municípios e Subprefeituras;RMSPsubDe3.jpg;1991/2000;2008-01-01
129;População, ano 2000 - Subprefeituras;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;População do Município de São Paulo dividida em Subprefeituras, ano 2000;Mapa (imagem);Mapa da População, ano 2000 - Subprefeituras;RMSPsubDe4.jpg;2000;2008-01-01
130;População, ano 2008 - Subprefeituras;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;População do Município de São Paulo dividida em Subprefeituras, ano 2008;Mapa (imagem);Mapa da População, ano 2008 - Subprefeituras;RMSPsubDe5.jpg;2008;2008-01-01
131;Densidade Demográfica, ano 2000 - Subprefeituras;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;Densidade demográfica do Município de São Paulo dividida em Subprefeituras, ano 2000;Mapa (imagem);Mapa da Densidade Demográfica, ano 2000 - Subprefeituras;RMSPsubDe6.jpg;2000;2008-01-01
132;Densidade Demográfica, ano 2008 - Subprefeituras;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;Densidade demográfica do Município de São Paulo dividida em Subprefeituras, ano 2008;Mapa (imagem);Mapa da Densidade Demográfica, ano 2008 - Subprefeituras;RMSPsubDe7.jpg;2008;2008-01-01
133;Crescimento, ano 91/00 - Subprefeituras;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;Crescimento do Município de São Paulo, inclui uma divisão em subprefeituras, ano 1991/2000;Mapa (imagem);Mapa da Crescimento, ano 91/00 - Subprefeituras;RMSPsubDe8.jpg;1991/2000;2008-01-01
134;Crescimento, ano 00/08 - Subprefeituras;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;Crescimento do Município de São Paulo, inclui uma divisão em subprefeituras, ano 2000/2008;Mapa (imagem);Mapa da Crescimento, ano 00/08 - Subprefeituras;RMSPsubDe9.jpg;2000/2008;2008-01-01
135;População Total, ano 2000 - Distritos;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;População total da Região Metropolitana de São Paulo dividida em municípios e distritos, ano 2000;Mapa (imagem);Mapa da População Total, ano 2000 - Distritos;RMSPdisDe1.jpg;2000;2008-01-01
136;Densidade Demográfica, ano 2000 - Distritos;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Densidade demográfica da Região Metropolitana de São Paulo dividida em municípios e distritos, ano 2000;Mapa (imagem);Mapa da Densidade Demográfica, ano 2000 - Distritos;RMSPdisDe2.jpg;2000;2008-01-01
137;Taxa de crescimento, ano 91/00 - Distritos;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Taxa de crescimento da Região Metropolitana de São Paulo dividida em municípios e distritos, ano 1991/2000;Mapa (imagem);Mapa da Taxa de crescimento, ano 91/00 - Distritos;RMSPdisDe3.jpg;1991/2000;2008-01-01
138;População, ano 2000 - Distritos;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;População do Município de São Paulo dividida em distritos, ano 2000;Mapa (imagem);Mapa da População, ano 2000 - Distritos;RMSPdisDe4.jpg;2000;2008-01-01
139;População, ano 2008 - Distritos;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;População do Município de São Paulo dividida em distritos, ano 2008;Mapa (imagem);Mapa da População, ano 2008 - Distritos;RMSPdisDe5.jpg;2008;2008-01-01
140;Densidade Demográfica, ano 2000 - Distritos;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;Densidade demográfica do Município de São Paulo dividida em distritos, ano 2000;Mapa (imagem);Mapa da Densidade Demográfica, ano 2000 - Distritos;RMSPdisDe6.jpg;2000;2008-01-01
141;Densidade Demográfica, ano 2008 - Distritos;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;Densidade demográfica do Município de São Paulo dividida em distritos, ano 2008;Mapa (imagem);Mapa da Densidade Demográfica, ano 2008 - Distritos;RMSPdisDe7.jpg;2008;2008-01-01
142;Taxa de crescimento, ano 91/00 - Distritos;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;Taxa de crescimento do Município de São Paulo dividida em distritos, ano 1991/2000;Mapa (imagem);Mapa da Taxa de crescimento, ano 91/00 - Distritos;RMSPdisDe8.jpg;1991/2000;2008-01-01
143;Taxa de crescimento, ano 00/08 - Distritos;Demografia;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;Taxa de crescimento do Município de São Paulo dividida em distritos, ano 2000/2008;Mapa (imagem);Mapa da Taxa de crescimento, ano 00/08 - Distritos;RMSPdisDe9.jpg;2000/2008;2008-01-01
144;Municípios da Região Metropolitana de São Paulo;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Mapa da divisão municipal da Região Metropolitana de São Paulo em 2007;Mapa (imagem);Mapa da divisão municipal da RMSP, ano 2007 (Mudo/sem rotulações dos municípios)#Mapa da divisão municipal da RMSP, ano 2007 (com rotulação numérica dos municípios)#Mapa das sedes e limites municipales em 2007 (rotulação numérica dos municípios)#Mapa dos Municípios, sedes e territórios destacados#Mapa do Ano de fundação dos municípios em alta resolução#Dados RMSP - Municípios#Dicionário RMSP;RMSPmunDT1.jpg#RMSPmunDT2.jpg#RMSPmunDT3.jpg#RMSPmunDT4.jpg#RMSPmunDT5.jpg#DataRMSPmunic.xls#DicRMSP08im.pdf;2007;2008-01-01
145;Subprefeituras do Município de São Paulo na Região Metropolitana de São Paulo;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Mapa das subprefeituras no Município de São Paulo na Região Metropolitana de São Paulo;Mapa (imagem);Mapa dos Municípios da RMSP e das subprefeituras do Município de São Paulo (Mudo)#Mapa dos Municípios da RMSP e das subprefeituras do Município de São Paulo, com destaque do Município de São Paulo (Mudo)#Dados Subpref - Município SP#Dicionário RMSP;RMSPsubDT1.jpg#RMSPsubDT2.jpg#DataRMSPsubprSAO.xls#DicRMSP08im.pdf;;2008-01-01
146;Subprefeituras do Município de São Paulo;Divisão Territorial;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;Mapa das subprefeituras no Município de São Paulo;Mapa (imagem);Mapa do Município de São Paulo dividido em subprefeituras, ano 2007 (mudo)#Mapa do Município de São Paulo dividido em subprefeituras, ano 2007 (rotulação numérica das subprefeituras)#Mapa do Município de São Paulo dividido em subprefeituras, ano 2007 (rotulação com siglas das subprefeituras)#Dados Subpref - Município SP#Dicionário RMSP;RMSPsubDT3.jpg#RMSPsubDT4.jpg#RMSPsubDT5.jpg#DataRMSPsubprSAO.xls#DicRMSP08im.pdf;;2008-01-01
147;Distritos Administrativos do Município de São Paulo;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Mapa da divisão distrital da Região Metropolitana de São Paulo;Mapa (imagem);Mapa da Divisão municipal e distrital na Região Metropolitana de São Paulo, ano 2007 (mudo)#Mapa dos municípios com divisão distrital na Região Metropolitana de São Paulo, ano 2007#Dados Distritos - RMSP#Dicionário RMSP;RMSPdisDT1.jpg#RMSPdisDT2.jpg#DataRMSPdistr.xls#DicRMSP08im.pdf;2007;2008-01-01
148;Divisão distrital do Município de São Paulo;Divisão Territorial;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;Mapa da divisão distrital do Município de São Paulo;Mapa (imagem);Mapa da Divisão distrital do Município de São Paulo, ano 2007 (mudo)#Mapa da Divisão distrital do Município de São Paulo, ano 2007 (rotulação numérica dos distritos)#Mapa da Divisão distrital do Município de São Paulo, ano 2007 (rotulação com siglas das subprefeituras)#Dados Distritos - RMSP#Dicionário RMSP;RMSPdisDT3.jpg#RMSPdisDT4.jpg#RMSPdisDT5.jpg#DataRMSPdistr.xls#DicRMSP08im.pdf;2007;2008-01-01
149;Mapas da Eleição municipal de 2000;Eleitoral;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;"Em 2000, 6.119.318 eleitores compareceram aos 1.134 locais de votação da cidade de São Paulo, decidindo assim quem seriam os ocupantes das 55 cadeiras da Câmara Municipal, além de manifestar suas preferências sobre quem seria o novo prefeito da capital.

Para produzir um retrato desse pleito, o Centro de Estudos da Metrópole produziu 91 mapas que mostram a distribuição do voto por local de votação. Estes mapas de referem aos candidatos a prefeitos com mais de 2% dos votos; vereadores eleitos; desempenho total dos partidos com representação na Câmara; votos brancos e nulos; e votos de legenda.

Procuramos atribuir cores diferentes aos partidos com maiores votações, utilizando as mesmas escalas para os candidatos a prefeito e para os vereadores eleitos por esses partidos. Os partidos menores, ou seja, aqueles com até dois vereadores eleitos (PPS, PSB, PDT, PRONA, PSD e PFL), foram classificados em dois grupos – partidos de esquerda e partidos de direita – representados por duas cores.";Mapa (imagem);Tabela resumo da Eleição municipal de 2000#Paulo Maluf (PPB)#Marta Suplicy (PT)#Romeu Tuma (PFL)#Luiza Erundina (PSB)#Geraldo Alckmin (PSDB)#Eneas Carneiro (PRONA)#Votos Brancos para prefeito#Votos Nulos para prefeito#Antonio Erasmo Dias (PPB)#CURIATI (PPB)#WADITH MUTRAN (PPB)#CELSO CARDOSO (PPB)#ESTIMA (PPB)#DISSEI (PPB)#PROF. ELISEU GABRIEL (PDT)#HUMBERTO MARTINS (PDT)#BETO (PT)#LUCILA - PT#CARLOS GIANNAZI - PT#ADRIANO DIOGO - PT#JOSE EDUARDO CARDOZO - PT#ALDAÍZA SPOSATI - PT#NABIL BONDUKI - PT#JOÃO ANTÔNIO - PT#ITALO CARDOSO - PT#VICENTE CÂNDIDO - PT#CARLOS NEDER - PT#LAURINDO - PT#DEVANIR RIBEIRO - PT#ARSELINO TATTO - PT#JOSÉ MENTOR - PT#AUGUSTO CAMPOS - PT#CELSO JATENE - PTB#BISPO ATÍLIO - PTB#PAULO FRANGE - PTB#MYRYAM ATHIE - PMDB#JOOJI HATO - PMDB#JOSE OLIMPIO SILVEIRA - PMDB#GOULART - PMDB#CARLOS APOLINARIO - PMDB#MILTON LEITE - PMDB#PASTOR VANDERLEI DE JESUS - PL#VIVIANI FERRAZ - PL#ANTONIO CARLOS RODRIGUES - PL#DR ROGER LIN - PPS#RAUL CORTEZ - PPS#TONINHO PAIVA - PFL#DR. CALVO - PSB#TONINHO FORÇA SÃO PAULO - PSB#DR FARHAT - PSD#WILLIAM WOO - PSDB#RICARDO MONTORO - PSDB#CARLOS ALBERTO JR - PSDB#DALTON SILVANO - PSBD#TRIPOLI - PSDB#GILSON BARRETO - PSDB#MARCOS ZERBINI - PSDB#GILBERTO NATALINI - PSDB#BARATÃO - PRONA#DRA. HAVANIR - PRONA#ANA MARTINS - PC do B#AMAZONAS PC do B#CLAUDIO FONSECA - PC do B#Total de voto para Vereador do PPB#Total de voto para Vereador do PDT#Total de voto para Vereador do PT#Total de voto para Vereador do PTB#Total de voto para Vereador do PMDB#Total de voto para Vereador do PL#Total de voto para Vereador do PPS#Total de voto para Vereador do PFL#Total de voto para Vereador do PSB#Total de voto para Vereador do PSD#Total de voto para Vereador do PSDB#Total de voto para Vereador do PRONA#Total de voto para Vereador do PC do B#Votos de Legenda PPB#Votos de Legenda PDT#Votos de Legenda PT#Votos de Legenda PTB#Votos de Legenda PMDB#Votos de Legenda PL#Votos de Legenda PPS#Votos de Legenda PFL#Votos de Legenda PSB#Votos de Legenda PSD#Votos de Legenda PSDB#Votos de Legenda PRONA#Votos de Legenda PC do B#Votos Brancos para vereador#VOtos Nulos para vereador;mapas2000.gif#Mapa_PREF_PPB.jpg#Mapa_PREF_PT.jpg#Mapa_PREF_PFL.jpg#Mapa_PREF_PSB.jpg#Mapa_PREF_PSDB.jpg#Mapa_PREF_PRONA.jpg#Mapa_PREF_BCO.jpg#Mapa_PREF_NULO.jpg#mapa11211.jpg#mapa11611.jpg#mapa11624.jpg#mapa11650.jpg#mapa11651.jpg#mapa11696.jpg#mapa12345.jpg#mapa12777.jpg#mapa13112.jpg#mapa13137.jpg#mapa13213.jpg#mapa13601.jpg#mapa13617.jpg#mapa13624.jpg#mapa13633.jpg#mapa13644.jpg#mapa13650.jpg#mapa13651.jpg#mapa13666.jpg#mapa13678.jpg#mapa13690.jpg#mapa13696.jpg#mapa13699.jpg#mapa13789.jpg#mapa14000.jpg#mapa14333.jpg#mapa14444.jpg#mapa15500.jpg#mapa15622.jpg#mapa15633.jpg#mapa15651.jpg#mapa15678.jpg#mapa15685.jpg#mapa22333.jpg#mapa22626.jpg#mapa22678.jpg#mapa23120.jpg#mapa23377.jpg#mapa25611.jpg#mapa40633.jpg#mapa40667.jpg#mapa41888.jpg#mapa45116.jpg#mapa45146.jpg#mapa45321.jpg#mapa45654.jpg#mapa45666.jpg#mapa45678.jpg#mapa45680.jpg#mapa45695.jpg#mapa56123.jpg#mapa56500.jpg#mapa65611.jpg#mapa65640.jpg#mapa65789.jpg#mapa_11.jpg#Mapa_12.jpg#mapa_13.jpg#Mapa_14.jpg#Mapa_15.jpg#mapa_22.jpg#Mapa_23.jpg#mapa_25.jpg#mapa_40.jpg#Mapa_41.jpg#mapa_45.jpg#mapa_56.jpg#Mapa_65.jpg#Mapa_leg_11.jpg#mapa_leg_12.htm#Mapa_leg_13.jpg#mapa_leg_14.jpg#mapa_leg_15.jpg#Mapa_leg_22.j.jpg#mapa_leg_23.jpg#Mapa_leg_25.jpg#Mapa_leg_40.jpg#mapa_leg_41.jpg#Mapa_leg_45.jpg#Mapa_leg_56.jpg#mapa_leg_65.jpg#Mapa_vereador_BCO.jpg#Mapa_vereador_NULO.jpg;2000;2008-01-01
150;Mapas da Eleição municipal de 2004;Eleitoral;Centro de Estudos da Metrópole;Municípios de São Paulo#São Paulo;"No pleito de 2004, os eleitores da cidade de São Paulo se distribuíram em 1.537 locais de votação espalhados por toda a cidade, onde manifestaram suas preferências sobre os ocupantes das 55 cadeiras da Câmara Municipal, além da escolha do novo prefeito da capital.

Foi produzido um total de 88 mapas – contemplando (1) todos os vereadores eleitos; (2) os votos de legenda; o total de votos dos 12 partidos com representação na Câmara; (3) os candidatos a prefeito com mais de 2% dos votos válidos; (4) e os votos brancos e nulos, tanto para a disputa do Executiva, como para a do Legislativo – sendo que cada ponto corresponde a um dos 1.537 locais de votação da cidade. Procuramos atribuir cores diferentes aos partidos com maiores votações, utilizando as mesmas escalas para os candidatos a prefeito e para os vereadores eleitos por esses partidos.";Mapa (imagem);Tabela resumo da Eleição municipal de 2004#CANDIDATO PAULOMALUF (PP)#CANDIDATA MARTA (PT)#CANDIDATA LUIZA ERUNDINA (PSB)#CANDIDATO JOSÉ SERRA (PSDB)#VOTOS BRANCOS PARA PREFEITO#VOTOS NULOS PARA PREFEITO#RUSSOMANNO - PP#JORGE BORGES - PP#AGNALDO TIMOTEO - PP#WADIH MUTRAN - PP#CARLOS APOLINÁRIO - PDT#CLAUDIO PRADO - PDT#JOSE AMERICO - PT#SONINHA - PT#BETO CUSTODIO - PT#CHICO MACENA - PT#JOSE FERREIRA(ZELAO) - PT#PAULO TEIXEIRA NOVO - PT#CARLOS GIANNAZI - PT#JOAO ANTONIO - PT#PAULO FIORILO - PT#ARSELINO TATTO - PT#DONATO - PT#CLAUDETE ALVES - PT#FRANCISCO CHAGAS - PT#CELSO JATENE - PTB#DR MARIO DIAS - PTB#ADILSON AMADEU - PTB#BISPO ATILIO FRANCISCO - PTB#MARTA COSTA - PTB#PAULO FRANGE - PTB#DR FARHAT - PTB#JORGE TADEU - PMDB#JOOJI HATO - PMDB#ANTONIO GOULART - PMDB#MILTON LEITE - PMDB#TONINHO PAIVA - PL#ANTÔNIO CARLOS RODRIGUES - PL#AURÉLIO MIGUEL - PL#EDIVALDO ESTIMA - PPS#MYRYAM ATHIE - PPS#DOMINGOS DISSEI - PFL#KAMIA - PFL#NOEMI NONATO - PSB#ABOU ANNI - PV#AURELIO NOMURA - PV#BISPA LENICE - PSDB#NETINHO - JOSE POLICE NETO - PSDB#WILLIAM WOO - PSDB#JUSCELINO -PSDB#CLAUDINHO - PSDB#ADOLFO QUINTAS - PSDB#CARLOS ALBERTO JR - PSDB#RICARDO MONTORO - PSDB#JOSE ANIBAL - PSDB#DALTON SILVANO - PSBD#TRIPOLI - PSDB#GILSON BARRETO - PSDB#MARCOS ZERBINI - PSDB#NATALINI - PSDB#ADEMIR DA GUIA - PC do B#Total de votos para Vereador do PP#Total de votos para Vereador do PDT#Total de votos para Vereador do PT#Total de votos para Vereador do PTB#Total de votos para Vereador do PMDB#Total de votos para Vereador do PL#Total de votos para Vereador do PPS#Total de votos para Vereador do PFL#Total de votos para Vereador do PSB#Total de votos para Vereador do PV#Total de votos para Vereador do PSBD#Total de votos para Vereador do PC do B#Votos de Legenda do PP#Votos de Legenda do PDT#Votos de Legenda do PT#Votos de Legenda do PTB#Votos de Legenda do PMDB#Votos de Legenda do PL#Votos de Legenda do PPS#Votos de Legenda do PFL#Votos de Legenda do PSB#Votos de Legenda do PV#Votos de Legenda do PSDB#Votos de Legenda do PC do B#VOTOS BRANCOS PARA VEREADOR#VOTOS NULOS PARA VEREADOR;mapas2004.jpg#Map_11Prefeito.jpg#Map_13Prefeito.jpg#Map_40Prefeito.jpg#Map_45Prefeito.jpg#Map_BrancosPref.jpg#Map_NulosPref.jpg#Map_11111.jpg#Map_11116.jpg#Map_11122.jpg#Map_11624.jpg#Map_12012.jpg#Map_12345.jpg#Map_13100.jpg#Map_13108.jpg#Map_13112.jpg#Map_13123.jpg#Map_13133.jpg#errado.jpg#Map_13213.jpg#Map_13644.jpg#Map_13690.jpg#Map_13696.jpg#Map_13700.jpg#Map_13777.jpg#Map_13900.jpg#Map_14000.jpg#Map_14100.jpg#Map_14200.jpg#Map_14333.jpg#Map_14400.jpg#Map_14444.jpg#Map_14888.jpg#Map_15000.jpg#Map_15622.jpg#Map_15651.jpg#Map_15685.jpg#Map_22611.jpg#Map_22678.jpg#Map_22888.jpg#Map_23023.jpg#Map_23500.jpg#Map_25200.jpg#Map_25699.jpg#Map_40401.jpg#Map_43010.jpg#Map_43333.jpg#Map_43434.jpg#Map_45000.jpg#Map_45116.jpg#Map_45133.jpg#Map_45157.jpg#Map_45222.jpg#Map_45321.jpg#Map_45444.jpg#Map_45451.jpg#Map_45654.jpg#Map_45666.jpg#Map_45654.jpg#Map_45680.jpg#Map_45695.jpg#Map_65010.jpg#Map_11Total.jpg#Map_12Total.jpg#Map_14Total.jpg#Map_15Total.jpg#Map_15Total.jpg#Map_22Total.jpg#Map_15Total.jpg#Map_25Total.jpg#Map_40Total.jpg#Map_43Total.jpg#Map_45Total.jpg#Map_65Total.jpg#Map_11Legenda.jpg#Map_12Total.jpg#Map_13Legenda.jpg#Map_14Legenda.jpg#Map_15Legenda.jpg#Map_22Legenda.jpg#Map_23Legenda.jpg#Map_25Legenda.jpg#Map_40Legenda.jpg#Map_43Legenda.jpg#Map_45Legenda.jpg#Map_65Legenda.jpg#Map_BrancosVer.jpg#Map_NulosVer.jpg;2004;2008-01-01
